stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_code
CAR58B,rue Bachand / ch. Bellevue,45.4817609839878,-73.3229495867967,5,74484
CAR156C,chemin Bellevue / face à l'Hôtel de ville de Carignan,45.4656386324587,-73.3308135856045,5,74481
CAR70D,ch. de la Grande-Allée / face au 1198,45.4356776321222,-73.3760467612999,5,74510
CAR88D,ch. de la Grande-Allée / rue du Domaine,45.4339021501654,-73.3735200261481,5,74540
CAR69D,ch. de la Grande-Allée / rue Coupal,45.4318023039191,-73.3706746771733,5,74508
CAR163D,rue Bernard-Boucher / ch. de la Grande-Allée,45.4281250049522,-73.3655712286217,5,74506
CAR67A,ch. Bellerive / rue René-Poupart,45.4291206970067,-73.362923438202,5,74503
CAR66A,ch. Bellerive / montée du Moulin,45.4331710200328,-73.3563954485996,5,74501
CAR91A,ch. Bellerive / rue Gilbert-Martel,45.4414706260429,-73.3384020197791,5,74499
CAR93A,rue Gilbert-Martel / Catherine Godin,45.4440022912103,-73.3405935024063,5,74515
CAR73A,rue Jeanne-Déchard / rue Henriette,45.4459541765731,-73.3400255248538,5,74514
CAR64D,rue Henriette / rue Albanie,45.4475145866628,-73.3301007353407,5,74498
CAR71D,rue Henriette / face au Parc Henriette,45.4486107839041,-73.3231044645864,5,74512
CAR63D,rue Henriette / ch. Bellerive,45.450160241794,-73.312884732808,5,74538
CAR60A,ch. Bellerive / rue Marie-Anne,45.4526219005271,-73.3104985552797,5,74489
CAR3F,ch. Bellerive / ch. de Chambly,45.4594276050778,-73.3068187668401,5,74478
CHB7B,rue Bourgogne / rue Martel,45.4489423929009,-73.290401147401,5,74141
CHB195A,rue Martel / rue Gérard-Mongeau,45.4514180920863,-73.2910056515766,5,74595
CHB194A,rue Martel / rue St-Pierre,45.4530566746718,-73.2914726535658,5,74594
CHB193A,rue Martel / rue Georges-Pépin,45.457619400029,-73.2917371346232,5,74593
CHB126A,rue Martel / rue Demers,45.4617050177702,-73.2919011137748,5,74590
CHB198B,rue Daigneault / face au Manoir Soleil,45.4610559010241,-73.2962127388121,5,74591
CHB188C,rue Joseph Bresse / rue Gordon Mclean,45.4617730644661,-73.299765001126,5,74667
CHB196C,rue Joseph Bresse / rue Daigneault,45.4605398967323,-73.2995519882592,5,74666
CHB196A,rue Joseph Bresse / rue Daigneault,45.4605398967323,-73.2995519882592,5,74660
CHB188A,rue Joseph Bresse / rue Gordon Mclean,45.4617730644661,-73.299765001126,5,74662
CHB192C,rue Joseph Bresse / rue Daigneault,45.4607622000432,-73.2980423360456,5,74661
CHB126D,rue Daigneault / rue Martel,45.4617050177702,-73.2919011137748,5,74588
CHB193C,rue Martel / rue Georges-Pépin,45.457619400029,-73.2917371346232,5,74589
CHB194C,rue Martel / rue St-Pierre,45.4530566746718,-73.2914726535658,5,74663
CHB195C,rue Martel / rue Gérard-Mongeau,45.4514180920863,-73.2910056515766,5,74668
CHB7C,rue Martel / rue Bourgogne,45.4489423929009,-73.290401147401,5,74664
CHB40A,boul. Brassard / rue Michel-Laguë,45.4327008093103,-73.3061175703396,5,74088
CHB39A,boul. Brassard / rue de Longueuil,45.4357144119197,-73.3055832163503,5,74084
CHB38A,boul. Brassard / rue Roy,45.438754263234,-73.3046141260239,5,74082
CHB30A,boul. Brassard / boul. Lebel,45.4412004468142,-73.3037875985944,5,74069
CHB29D,boul. Lebel / boul. Briand,45.4408637498602,-73.3016157420876,5,74066
CHB28D,boul. Lebel / rue Denault,45.4404266342056,-73.2986517588172,5,74064
CHB65D,boul. Lebel / rue Roland-Gagnon,45.4401083600422,-73.2967738896711,5,74134
CHB27D,boul. Lebel / rue St-Jean,45.4397536477731,-73.2946660933138,5,74062
CHB201D,boul. Lebel / rue Laurent-Perreault,45.439479650676,-73.2924302057982,5,74696
CHB26D,boul. Lebel / boul. Fréchette,45.4390516720529,-73.2896708452018,5,74060
CHB25C,boul. Fréchette / boul. Franquet,45.4362728112026,-73.2905886521189,5,74057
CHB24C,boul. Fréchette / boul. Kennedy,45.4348531315739,-73.2917314239409,5,74052
CHB115B,boul. Fréchette / rue Denault,45.4337103283388,-73.296732950237,5,74018
CHB202B,boul. Fréchette / face au nouveau stationnement,45.4328804063982,-73.3006723817948,5,74325
CHB115D,boul. Fréchette / rue Fonrouge,45.4337103283388,-73.296732950237,5,74017
CHB24D,boul. Fréchette / boul. Kennedy,45.4348531315739,-73.2917314239409,5,74053
CHB25A,boul. Fréchette / boul. Franquet,45.4362728112026,-73.2905886521189,5,74055
CHB26A,boul. Fréchette / boul. Lebel,45.4390516720529,-73.2896708452018,5,74058
CHB17A,boul. Fréchette / rue Gentilly,45.4407603442069,-73.2891020680441,5,74034
CHB66D,rue de Gentilly / rue Hertel,45.4403142643704,-73.2863299561614,5,74136
CHB64D,rue de Gentilly / rue Pierre-Cognac,45.4396726808998,-73.2801713463873,5,74132
CHB74D,rue Gentilly / rue Jean-Monty,45.4394726680218,-73.2791112023272,5,74126
CHB18C,rue de Gentilly / boul. Franquet,45.4345792280322,-73.280024968728,5,74037
CHB117B,boul. Franquet / rue Duvernay,45.4353620578114,-73.2847254271456,5,74128
CHB20C,rue Scheffer / rue O'Brien,45.4347345662145,-73.2860059237387,5,74044
CHB21C,rue Scheffer / boul. Fonrouge,45.4305977243326,-73.2873379151189,5,74045
CHB22B,rue Fonrouge / boul. Kennedy,45.4313625122131,-73.2921787943757,5,74047
CHB168B,rue Fonrouge / rue de Beaulac,45.4320350147327,-73.2958443292896,5,74655
CHB171B,rue de Beaulac / rue de Moncours,45.4303641401904,-73.2974478683349,5,74656
CHB174B,rue de Beaulac / rue de Niverville,45.4300990248659,-73.3001965298265,5,74657
CHB178D,rue de Niverville / rue de la Fresnière,45.4319978402337,-73.3002665128722,5,74658
CHB179D,rue de Niverville / rue Fonrouge,45.4328367468858,-73.2963271044945,5,74659
CHB22D,boul. Fond-Rouge / boul. Kennedy,45.4313625122131,-73.2921787943757,5,74105
CHB23A,boul. Kennedy / rue Beausoleil,45.4335752076259,-73.2916594393967,5,74049
CHB24A,boul. Kennedy / boul. Fréchette,45.4348531315739,-73.2917314239409,5,74051
CHB92C,boul. Fréchette / rue Anne-le-Seigneur,45.427515651809,-73.3102886525658,5,74623
SJR21C,boul. du Séminaire nord / face au CLSC Vallée des Forts,45.335039659507,-73.2679709825634,0,74004
SJR4C,boul. du Séminaire nord / Hôpital du Haut-Richelieu,45.3333475812468,-73.2678120345827,0,74002
SJR24C,boul. du Séminaire nord / rue Georges-Phaneuf,45.3205256048246,-73.2639995237276,0,74442
SJR22C,boul. du Séminaire nord / rue St-Michel,45.3152357951006,-73.2646974549509,0,74158
SJR5C,boul. du Séminaire sud / boul. Gouin,45.3013547563084,-73.2666547949362,0,74006
SJR19C,boul. du Séminaire sud / rue Montcalm,45.2970532058438,-73.266583187155,0,74000
SJR19A,boul. du Séminaire sud / Cégep St-Jean-sur-Richelieu,45.2970532058438,-73.266583187155,0,74007
SJR5A,boul. du Séminaire sud / boul. Gouin,45.3013547563084,-73.2666547949362,0,74001
SJR22A,boul. du Séminaire nord / rue St-Michel,45.3152357951006,-73.2646974549509,0,74157
SJR24A,boul. du Séminaire nord / rue Georges-Phaneuf,45.3205256048246,-73.2639995237276,0,74441
SJR4A,boul. du Séminaire nord / Hôpital du Haut-Richelieu,45.3333475812468,-73.2678120345827,0,74005
SJR21A,boul. du Séminaire nord / face au CLSC Vallée des Forts,45.335039659507,-73.2679709825634,0,74003
CAR160A,rue Martel / rue Jean-de-Ronceray,45.4672435696258,-73.2943744836013,5,74581
CHB124A,rue Jean-de-Ronceray / rue Alexandre-de-Prouville,45.4696930516245,-73.2904649301485,5,74582
CHB125A,rue Jean-de-Ronceray / rue Olivier-Maurel,45.4736433343747,-73.2904375018661,5,74583
CAR161C,rue Olivier-Maurel / rue Chevalier-de-Chaumond,45.4718261548679,-73.2956879269747,5,74584
CAR162A,rue Olivier-Maurel / rue Louis-de-Canchy,45.466581054366,-73.2962567728558,5,74585
CAR160D,rue Olivier-Maurel / rue Chevalier-de-Chaumond,45.4672435696258,-73.2943744836013,5,74586
CHB126C,rue Martel / rue Daigneault,45.4617050177702,-73.2919011137748,5,74587
CAR165A,rue Demers / rue des Ormes,45.4656868710089,-73.2894567245035,5,74863
MTL37A,rue Duke / rue William,45.4974144369295,-73.5587047406678,1,74529
BRO82C,Terminus Panama,45.4659124335635,-73.4680552002682,3,74550
NBS1A,ch. des Patriotes / montée Daigneault,45.4120105157324,-73.2412225103793,5,74237
MRV27D,rue Ivanier / rue Claude-de-Ramezay,45.4279192480738,-73.1527535356848,6,74191
MRV29D,rue Ivanier / rue Desjardins,45.4285756062737,-73.149631259506,6,74229
MRV30D,rue Ivanier / rue Arès,45.428878527034,-73.1457315499722,6,74231
MRV33D,rue Ivanier / rue des Roseaux,45.4293300868901,-73.1433644454166,6,74233
MRV62A,rue des Roseaux / face au 2155,45.4314593940312,-73.1451786280901,6,74235
MRV34A,rue des Roseaux / rue du Pont,45.4335125694879,-73.1456642146007,6,74241
MRV36B,rue du Pont / rue Desjardins,45.4335089485633,-73.1503292414167,6,74243
MRV37B,rue du Pont / rue Henri-Bourassa,45.4331704972674,-73.154433954461,6,74245
MRV38B,rue du Pont / rue Jeanotte,45.4329712773826,-73.1570040933606,6,74190
MRV40B,rue Claude-de-Ramezay / rue du Pont,45.4327194937302,-73.1600729757205,6,74194
MRV42D,rue du Pont / rue St-Marie,45.4321670559399,-73.1619166884624,6,74197
MRV44B,chemin Chambly / rue Ouellette,45.4330630946989,-73.1667424552709,6,74199
MRV45B,chemin Chambly / rue Racicot,45.4333924720438,-73.1717250312665,6,74189
MRV47B,chemin Chambly / rue Bernard,45.4337858500326,-73.1771418502021,6,74534
MRV50B,chemin Chambly / rue des Cèdres,45.4360771543149,-73.1856284235695,6,74202
MRV51B,chemin Chambly / rue Auclair,45.4376333503476,-73.1887129690807,6,74204
MRV54A,chemin Chambly / route 112,45.4405343309888,-73.1966860286734,6,74541
RIC1C,ch. des Patriotes / 12e avenue,45.4420584194878,-73.2460065420127,6,74254
RIC19C,ch. des Patriotes / 14e avenue,45.4395381737169,-73.2457110772339,6,74458
RIC11C,ch. des Patriotes / ch. de Marieville,45.4364149447593,-73.2453800052236,6,74459
NBS2C,ch. des Patriotes / rue Samuel-Bessette,45.433158075598,-73.2456502660781,6,74475
CHB184D,rue Charles-Le Moyne / rue Carillon,45.4441310452701,-73.2870825420362,5,74676
CHB186D,rue Charles-Le Moyne / rue Courcelle,45.4441722789708,-73.2850754184218,5,74677
CHB187D,rue Charles-Le Moyne / rue Charette,45.4437640396912,-73.2833256774634,5,74678
CHB182C,rue Charles-Le Moyne / face au 1417,45.442841220516,-73.2807214905453,5,74679
CHB181C,rue Charles-Le Moyne / face à la piste cyclable,45.4415912189943,-73.2811353777864,5,74680
CHB180C,rue Charles-Le Moyne / face au 1438,45.4407459019979,-73.2814198603142,5,74681
CHB180A,rue Charles-Le Moyne / face au 1438,45.4407459019979,-73.2814198603142,5,74670
CHB181A,rue Charles-Le Moyne / face à la piste cyclable,45.4415912189943,-73.2811353777864,5,74671
CHB182A,rue Charles-Le Moyne / face au 1417,45.442841220516,-73.2807214905453,5,74672
CHB187B,rue Charles-Le Moyne / rue Charette,45.4437640396912,-73.2833256774634,5,74673
CHB186B,rue Charles-Le Moyne / rue Courcelle,45.4441722789708,-73.2850754184218,5,74674
CHB184B,rue Charles-Le Moyne / rue Carillon,45.4441310452701,-73.2870825420362,5,74675
MTL73C,rue de Nazareth / rue Ottawa,45.4963171751026,-73.5576288179605,1,74701
MTL19A,Terminus Mansfield,45.4981943405475,-73.5642075970964,1,16000
BRO17A,boul. Grande-Allée / Autoroute 30,45.4531853573393,-73.4110144945015,3,74636
SSR1C,rue Plaza / ch. des Patriotes,45.4971159640907,-73.2522974884169,6,74270
SSR26C,ch. des Patriotes / Ter. Robert,45.4867101568864,-73.263332163597,6,74275
SSR2C,ch. des Patriotes / ch. des Épinettes,45.4843733527041,-73.264685142977,6,74271
SSR22C,ch. des Patriotes / rue Massé,45.4712416915794,-73.2676685576881,6,74274
SSR8C,ch. des Patriotes / ch. Richelieu,45.4594307398277,-73.2566565851945,6,74279
SSR9C,ch. des Patriotes / face aux maisons mobiles,45.4503184184502,-73.249792074164,6,74281
SSR9A,ch. des Patriotes / face aux maisons mobiles,45.4503184184502,-73.249792074164,6,74280
SSR8A,ch. des Patriotes / ch. de la Rivière-des-Hurons est,45.4594307398277,-73.2566565851945,6,74278
SSR3A,ch. des Patriotes / rue Lussier,45.4705029109116,-73.2672239713402,6,74273
SSR2A,ch. des Patriotes / ch. des Épinettes,45.4843733527041,-73.264685142977,6,74272
SSR6A,ch. des Patriotes / rue Joseph-Théberge,45.4886869022211,-73.2619294152109,6,74276
LON10A,Terminus Longueuil,45.5242156550627,-73.5221975467484,3,74148
LON4D,ch. de Chambly / rue St-Charles,45.5408105426837,-73.5081184452971,3,74182
LON155A,rue de Gentilly / face au Cégep Édouard-Montpetit,45.5369324452539,-73.4955441249932,3,74180
CHB15A,boul. Brassard / rue Barre,45.4439344199136,-73.3028705152349,5,74030
CHB14A,boul. Brassard / rue Salaberry,45.4470294292544,-73.3025912736431,5,74028
CHB72A,boul. Brassard / rue Tracy-II,45.4490101722233,-73.3032107965684,5,74010
CHB13A,boul. Brassard / rue Tracy-I,45.4505485565193,-73.3030008919748,5,74026
CHB59A,boul. Brassard / rue St-Pierre,45.4513401121155,-73.302819148301,5,74121
CHB11A,boul. de Périgny / rue Notre-Dame,45.4534076540319,-73.3015973375524,5,74022
CHB10A,boul. de Périgny / rue Bourgogne,45.4563517654343,-73.3025203907874,5,74020
CAR3B,route 112 / chemin Bellerive,45.4589386474218,-73.3050303160437,5,74012
CAR168B,route 112 / face au Centre commercial Faubourg,45.4602322067793,-73.3145009264198,5,74294
CAR51B,route 112 / ch. Bellevue,45.4621399893631,-73.3320132690221,5,74013
CAR52B,route 112 / ch. de Chambly,45.4649735168148,-73.3439999401295,5,74015
STH66A,ch. de Chambly / boul. des Promenades,45.4871285897805,-73.3822408923393,3,74302
STB32A,boul. des Promenades / rue Laure L Hosson (Brick),45.4933880741929,-73.3789524895743,5,74288
STB31A,boul. des Promenades / face au Tim Horton's,45.500852769292,-73.3752256379718,5,74286
STB3A,Promenades Saint-Bruno,45.5071165942892,-73.3760692309928,5,74282
LON12A,voie Bv-Taschereau / boul. Curé-Poirier,45.5102790643779,-73.4930121862471,3,74153
LON7B,boul. la Fayette / rue St-Charles,45.5206618856984,-73.5188680069351,3,74186
CHB16A,boul. Fréchette / rue Charles-Lemoyne,45.4442406437945,-73.28795139105,5,74032
CHB116A,boul. Fréchette / boul. de Périgny,45.4457964745865,-73.2874597850687,5,74098
CHB6A,boul. Fréchette / rue Bourgogne,45.4478289585879,-73.2868257329677,5,74138
CHB67D,rue Bourgogne / rue Maurice,45.4470401807139,-73.2836838679062,5,74118
CHB5D,rue Bourgogne / rue Langevin,45.4475342214227,-73.2785300282685,5,74123
CHB214D,rue Bourgogne/rue Henderson,45.4480093471485,-73.2730310034956,0,74124
CHB4D,rue Bourgogne / rue Charles-Boyer,45.4471956862201,-73.2711294622541,5,74453
CHB44D,rue Bourgogne / rue Dumaine,45.4467168434467,-73.2701726126343,5,74092
CHB119D,rue Bourgogne / rue St-Georges,45.4457587965515,-73.2680927766296,5,74097
CHB118D,rue Bourgogne / rue Viens,45.4445295785331,-73.2654388826033,5,74087
CHB2D,rue Bourgogne / rue St-Jacques,45.4435079263339,-73.2631038110743,5,74068
CHB1D,rue Bourgogne / rue Napoléon,45.4426491345848,-73.2612155367786,5,74091
CHB45C,rue Bourgogne / rue St-Louis,45.44176350476,-73.2594169126972,5,74094
RIC22D,boul. Richelieu / 2e rue,45.4429297925282,-73.2535445776348,6,74258
RIC14D,boul. Richelieu / 3e rue,45.4434574638103,-73.2520466599779,6,74264
RIC5D,boul. Richelieu / 5e rue,45.4439450868176,-73.2487081117907,6,74260
RIC12C,5e rue / 12e avenue,45.4416861129816,-73.2485519654775,6,74262
RIC1D,12e avenue / ch. des Patriotes,45.4420584194878,-73.2460065420127,6,74255
RIC24C,CLSC Richelieu,45.4373240726486,-73.2455037334509,6,74462
RIC19A,ch. des Patriotes / 14e avenue,45.4395381737169,-73.2457110772339,6,74463
RIC1F,ch. des Patriotes / 12e avenue,45.4420584194878,-73.2460065420127,6,74256
RIC5B,boul. Richelieu / 5e rue,45.4439450868176,-73.2487081117907,6,74261
RIC14B,boul. Richelieu / 3e rue,45.4434574638103,-73.2520466599779,6,74265
RIC21B,boul. Richelieu / 1re rue,45.4425094519493,-73.2547479969972,6,74257
CHB53H,boul. Industriel / boul. de Périgny,45.4420135506923,-73.2716361604999,5,74110
CHB54C,boul. Industriel / boul. Simard,45.4386140969004,-73.272634086494,5,74112
CHB55C,boul. Industriel / boul. Franquet,45.4337138086952,-73.274609238794,5,74114
CHB93B,boul. Franquet / rue Frédéric-Courtemanche,45.4341146070613,-73.2770871511541,5,74620
CHB18B,boul. Franquet / rue Gentilly,45.4345792280322,-73.280024968728,5,74472
CHB120B,boul. Franquet / rue Berthier,45.4361631621998,-73.289681576126,5,74054
