shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
11_2,45.4356947727864,-73.3099544967451,14,2.09
11_2,45.4365297765027,-73.3088397022634,15,2.22
11_2,45.4376264773404,-73.3081713476915,16,2.35
11_2,45.4393892553918,-73.3076157416872,17,2.55
11_2,45.4400735701311,-73.3078690623489,18,2.63
11_2,45.4414781272782,-73.3083372524506,19,2.79
11_2,45.4413088461445,-73.3093476503795,20,2.87
11_2,45.4410773509382,-73.3108312046567,21,2.99
11_2,45.4403825427598,-73.3151539718809,22,3.33
11_2,45.4402661411035,-73.3155122579503,23,3.37
11_2,45.4397634210173,-73.3162552663766,24,3.45
11_2,45.4395746994836,-73.3164092653304,25,3.47
11_2,45.4390440968761,-73.3166027172906,26,3.53
11_2,45.4385580760186,-73.3165403819216,27,3.59
11_2,45.437153551493,-73.3160720121104,28,3.75
11_2,45.4360911117465,-73.3156920211923,29,3.87
11_2,45.4350201057278,-73.3155804770273,30,3.99
11_2,45.4338677617558,-73.3152519265964,31,4.12
11_2,45.4331830689909,-73.3147557110695,32,4.20
11_2,45.4310223712372,-73.3141109857164,33,4.45
11_2,45.4310835249132,-73.3129861200183,34,4.54
11_2,45.4315664579654,-73.3111697093487,35,4.69
11_2,45.4318260804023,-73.3103636751627,36,4.76
11_2,45.4320584245213,-73.309391578777,37,4.84
11_2,45.4327008093103,-73.3061175703396,38,5.10
11_2,45.4317644669686,-73.3058268262733,39,5.21
11_2,45.4323451051122,-73.3033326243715,40,5.42
11_2,45.4325885041253,-73.3035873914643,41,5.45
12_2,45.4325885041253,-73.3035873914643,1,0.00
12_2,45.4323451051122,-73.3033326243715,2,0.03
12_2,45.4317644669686,-73.3058268262733,3,0.24
12_2,45.4327008093103,-73.3061175703396,4,0.35
12_2,45.4357144119197,-73.3055832163503,5,0.68
12_2,45.438754263234,-73.3046141260239,6,1.03
12_2,45.4412004468142,-73.3037875985944,7,1.31
12_2,45.4416098494298,-73.306406624799,8,1.52
12_2,45.4414781272782,-73.3083372524506,9,1.67
12_2,45.4410773509382,-73.3108312046567,10,1.87
12_2,45.4421937755694,-73.3111981746726,11,2.00
12_2,45.4428854516345,-73.310467239565,12,2.09
12_2,45.4449247145748,-73.3084278489399,13,2.37
12_2,45.4462723340006,-73.3071449162141,14,2.55
12_2,45.4464516984779,-73.3067863599267,15,2.59
12_2,45.4465221690641,-73.3058912554898,16,2.66
12_2,45.4467000026033,-73.3046378322321,17,2.76
12_2,45.4470294292544,-73.3025912736431,18,2.92
12_2,45.4474650327942,-73.2995343824078,19,3.16
12_2,45.4482128486339,-73.2949933597415,20,3.53
12_2,45.4483453853966,-73.293637756403,21,3.64
12_2,45.4489423929009,-73.290401147401,22,3.90
12_2,45.4496580961892,-73.293044883538,23,4.12
12_2,45.4508969043066,-73.2963899595175,24,4.42
12_2,45.452186023113,-73.2977021810022,25,4.59
12_2,45.4550795628056,-73.3005558329698,26,4.98
12_2,45.4563517654343,-73.3025203907874,27,5.19
12_2,45.4534076540319,-73.3015973375524,28,5.53
12_2,45.4523271947794,-73.3012303586303,29,5.65
12_2,45.4519870507739,-73.3022671387911,30,5.74
12_2,45.4513401121155,-73.302819148301,31,5.82
12_2,45.4505485565193,-73.3030008919748,32,5.91
12_2,45.4490101722233,-73.3032107965684,33,6.08
12_2,45.4470294292544,-73.3025912736431,34,6.31
